"filename", "language", "PostCSS", "JavaScript JSX", "TypeScript JSX", "TypeScript", "XML", "JavaScript", "comment", "blank", "total"
"d:\document\project\finale\erp-front-end\src\pages\Manufacturing\Work Order\ManufacturingWorkOrdersPage.jsx", "JavaScript JSX", 0, 158, 0, 0, 0, 0, 2, 9, 169
"d:\document\project\finale\erp-front-end\src\pages\Manufacturing\Work Order\components\MaterialRequirementsTable.jsx", "JavaScript JSX", 0, 328, 0, 0, 0, 0, 10, 22, 360
"d:\document\project\finale\erp-front-end\src\pages\Material\MaterialPage.jsx", "JavaScript JSX", 0, 228, 0, 0, 0, 0, 3, 28, 259
"d:\document\project\finale\erp-front-end\src\pages\ProductsFinishedPage.jsx", "JavaScript JSX", 0, 63, 0, 0, 0, 0, 0, 4, 67
"d:\document\project\finale\erp-front-end\src\pages\ProductsMaterialsPage.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 0, 0, 7
"d:\document\project\finale\erp-front-end\src\pages\ProductsSemiPage.jsx", "JavaScript JSX", 0, 63, 0, 0, 0, 0, 0, 4, 67
"d:\document\project\finale\erp-front-end\src\pages\ReportsInventoryPage.jsx", "JavaScript JSX", 0, 49, 0, 0, 0, 0, 0, 4, 53
"d:\document\project\finale\erp-front-end\src\pages\ReportsProductionPage.jsx", "JavaScript JSX", 0, 49, 0, 0, 0, 0, 0, 4, 53
"d:\document\project\finale\erp-front-end\src\pages\UsersPage.jsx", "JavaScript JSX", 0, 63, 0, 0, 0, 0, 0, 4, 67
"d:\document\project\finale\erp-front-end\src\routes\index.jsx", "JavaScript JSX", 0, 56, 0, 0, 0, 0, 0, 1, 57
"d:\document\project\finale\erp-front-end\src\styles\colors.css", "PostCSS", 29, 0, 0, 0, 0, 0, 8, 6, 43
"Total", "-", 142, 4545, 208, 10, 1, 121, 104, 477, 5608
